-34.5875|-58.6725|201.219.64.31|Cooperativa Telefónica Pinamar Ltda.|Argentina|Buenos Aires,-34.5875|-58.6725|201.219.64.246|Cooperativa Telefónica Pinamar Ltda.|Argentina|Buenos Aires,failed,34.0024|-117.9757|208.50.254.149|Level 3 Communications|United States|Hacienda Heights,38|-97|67.16.166.186|Level 3 Communications|United States|,38|-97|67.16.166.250|Level 3 Communications|United States|,38|-97|64.215.81.234|Level 3 Communications|United States|,37.3762|-122.1826|74.119.78.68|Facebook|United States|Palo Alto,53|-8|31.13.24.32|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.15|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,
-27|133|203.50.77.49|Telstra Internet|Australia|,-27|133|203.50.80.1|Telstra Internet|Australia|,-27|133|203.50.11.74|Telstra Internet|Australia|,-27|133|203.50.6.90|Telstra Internet|Australia|,-27|133|203.50.13.134|Telstra Internet|Australia|,22.25|114.1667|202.84.223.38|Reach Networks HK Ltd Network Blocks|Hong Kong|,22.25|114.1667|202.84.249.54|Reach Networks HK Ltd Network Blocks|Hong Kong|,22.25|114.1667|202.40.149.142|Telstra Global|Hong Kong|,1.3667|103.8|103.4.96.49|Facebook|Singapore|,53|-8|31.13.30.26|Facebook Ireland Ltd|Ireland|,53|-8|31.13.28.111|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.44|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.78|Facebook Ireland Ltd|Ireland|,,,,,,
39.9612|-82.9988|33.62.76.144|DoD Network Information Center|United States|Columbus,51|9|213.239.243.225|Hetzner Online AG|Germany|,51|9|213.239.245.149|Hetzner Online AG|Germany|,51|9|213.239.245.177|Hetzner Online AG|Germany|,51|9|213.239.245.5|Hetzner Online AG|Germany|,50.1167|8.6833|80.81.194.40|DE-CIX Management GmbH|Germany|Frankfurt Am Main,53|-8|31.13.27.203|Facebook Ireland Ltd|Ireland|,37.3762|-122.1826|74.119.78.118|Facebook|United States|Palo Alto,53|-8|31.13.30.92|Facebook Ireland Ltd|Ireland|,53|-8|31.13.25.71|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.86|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.73|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,
failed,53.9|27.5667|178.124.134.50|Republican Unitary Telecommunication Enterprise Be|Belarus|Minsk,53|28|93.84.125.166|Republican Unitary Telecommunication Enterprise Be|Belarus|,53|28|93.84.125.38|Republican Unitary Telecommunication Enterprise Be|Belarus|,53|28|93.85.80.38|Republican Unitary Telecommunication Enterprise Be|Belarus|,53|28|93.85.80.74|Republican Unitary Telecommunication Enterprise Be|Belarus|,57|25|80.232.190.253|SIA Lattelecom|Latvia|,52.35|4.9167|195.69.145.115|Amsterdam Internet Exchange B.V.|Netherlands|Amsterdam,53|-8|31.13.29.90|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.131|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.236|Facebook Ireland Ltd|Ireland|,37.3762|-122.1826|204.15.20.75|Facebook|United States|Palo Alto,53|-8|31.13.27.59|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,
50.8333|4|85.88.33.1|EUSIP bvba|Belgium|,52.5|5.75|212.3.238.85|Level 3 Communications|Netherlands|,38|-97|4.69.148.178|Level 3 Communications|United States|,38|-97|4.69.148.182|Level 3 Communications|United States|,38|-97|4.69.143.86|Level 3 Communications|United States|,38|-97|4.69.137.70|Level 3 Communications|United States|,38|-97|4.69.201.62|Level 3 Communications|United States|,51.5|-0.13|4.69.132.89|Level 3 Communications|United Kingdom|,38|-97|4.69.134.146|Level 3 Communications|United States|,38|-97|4.69.149.146|Level 3 Communications|United States|,38|-97|4.53.116.78|Level 3 Communications|United States|,37.3762|-122.1826|204.15.20.54|Facebook|United States|Palo Alto,53|-8|31.13.24.86|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.21|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,
-16.5|-68.15|200.75.160.7|MegaLink|Bolivia|La Paz,-16.5|-68.15|200.75.160.1|MegaLink|Bolivia|La Paz,-16.5|-68.15|200.105.128.3|AXS Bolivia S. A.|Bolivia|La Paz,"40|-4|5.53.1.49|Telefonica International Wholesale Services, SL|Spain|","40|-4|94.142.127.154|Telefonica International Wholesale Services, SL|Spain|","40|-4|94.142.122.253|Telefonica International Wholesale Services, SL|Spain|","40|-4|5.53.1.58|Telefonica International Wholesale Services, SL|Spain|",37.3762|-122.1826|204.15.20.238|Facebook|United States|Palo Alto,53|-8|31.13.24.32|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.80|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,
-10|-55|200.145.255.2|Universidade Estadual Paulista|Brazil|,-10|-55|200.143.255.49|Associação Rede Nacional de Ensino e Pesquisa|Brazil|,-10|-55|187.16.218.82|Núcleo de Informação e Coordenação do Ponto BR|Brazil|,37.3762|-122.1826|204.15.22.110|Facebook|United States|Palo Alto,53|-8|31.13.24.95|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.78|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,,,,,
37.3338|-121.8915|205.185.112.144|FranTech Solutions|United States|San Jose,failed,"32.7153|-117.1573|199.47.208.9|VegasNAP, LLC|United States|San Diego",37.5155|-121.8962|64.62.249.89|Hurricane Electric|United States|Fremont,37.5155|-121.8962|184.105.222.161|Hurricane Electric|United States|Fremont,38|-97|206.223.143.161||United States|,53|-8|31.13.30.26|Facebook Ireland Ltd|Ireland|,53|-8|31.13.28.111|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.44|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.82|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,
44.8023|-64.2141|208.93.233.1|Data Centers Canada|Canada|Vaughan,44.8023|-64.2141|74.122.129.1|Data Centers Canada|Canada|Vaughan,44.8023|-64.2141|199.7.239.72|Data Centers Canada|Canada|Vaughan,44.8023|-64.2141|199.7.239.65|Data Centers Canada|Canada|Vaughan,-29|24|41.165.14.72|Neotel Pty Ltd|South Africa|,43.6885|-79.7616|69.17.187.189|Rogers Cable|Canada|Brampton,60|-95|69.63.251.1|Rogers Cable|Canada|,60|-95|24.156.156.245|Rogers Cable|Canada|,60|-95|69.63.253.142|Rogers Cable|Canada|,37.5331|-122.2471|206.126.236.191|Equinix|United States|Redwood City,37.3762|-122.1826|74.119.77.146|Facebook|United States|Palo Alto,53|-8|31.13.24.86|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.73|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,
"38.6143|-90.4444|206.123.64.46|Colo4, LLC|United States|Saint Louis",35.222|-101.8313|173.219.246.92|Suddenlink Communications|United States|Amarillo,37.3762|-122.1826|204.15.21.50|Facebook|United States|Palo Alto,53|-8|31.13.27.110|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.59|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,,,,,,
